№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0346300084821000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0346300084821000006;Определение поставщика завершено;Ремонт автомобильныхдорогобщего пользования местного значения по ул. Русановская в с. Грызлово, по ул. Солнечная в с. Большая Боевка, по ул.Архангельскаяв с. Стрелец Долгоруковского района Липецкой области;АДМИНИСТРАЦИЯ ДОЛГОРУКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ;01.02.2021;2 294 188,87 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0346300084821000006;АДМИНИСТРАЦИЯ ДОЛГОРУКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМЬСОТ ДОРОГ""";1 - Победитель;1 835 351,27;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКОЕ БЛАГОУСТРОЙСТВО""";2 - Второй номер;1 846 822,21;;;;;;
№ 0330100010521000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000006;Определение поставщика завершено;"Установкапешеходного ограждения на участках: км475+812 - 475+929 (справа), км475+782 -475+916 (слева) автомобильнойдорогиобщего пользования федерального значенияМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельск,Вологодская область; установка светофорного объекта на пешеходном переходе (скнопкой вызова) с изменением схемы организации дорожного движения на км 475+864автомобильнойдорогиобщего пользования федерального значения М-8 ""Холмогоры""Москва - Ярославль - Вологда -Архангельск, Вологодская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.02.2021;2 400 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000006;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОДВИЖЕНИЕ 35""";1 - Победитель;1 850 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯРОСЛАВЛЬТРАНССИГНАЛ""";2 - Второй номер;1 850 000,00;;;;;;
№ 0124300009421000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300009421000002;Определение поставщика завершено;Выполнение работ по текущему ремонту дворовой территории, ограниченной домами №15, №15 корпус 1, №17, №19 по ул. Южной, г. Новодвинск;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГААРХАНГЕЛЬСКОЙОБЛАСТИ ""ГОРОД НОВОДВИНСК""";01.02.2021;3 458 886,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300009421000002;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ГОРОД НОВОДВИНСК""";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;Романов А. В.;;3 441 591,57;25.08.2021;24.02.2021;Да;ул. Лебедева, д. 2, кв. 119, г. Северодвинск, Архангельская область, 164502;7-960-0140757Romany29rus@yandex.ru;
№ 0124300022121000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000018;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";29.01.2021;7 471 234,20 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000018;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЗЕНСКОЕ ДОРОЖНОЕ УПРАВЛЕНИЕ""";;7 471 234,20;31.12.2021;24.02.2021;2917002690;164750, Архангельская область, Мезенский район, г. Мезень, ул. Паюсова, д. 1;7-8182-241015info@adormezen.ru;
№ 0124300022121000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000017;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";29.01.2021;527 247,44 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000017;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ ""ТИТАН""";;527 247,44;31.12.2021;24.02.2021;2901008961;163000, ОБЛ АРХАНГЕЛЬСКАЯ 29, Г АРХАНГЕЛЬСК, УЛ ПОМОРСКАЯ, 7;8-81856-27008repishnaya@titans.su;
№ 0124300004921000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300004921000007;Определение поставщика завершено;Выполнение работ по капитальномуремонту автомобильнойдороги«Подъезд к дер. Степанидово от а/д Бутова Кулига – Петровские»  МО «Шипицынское»;АДМИНИСТРАЦИЯ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНААРХАНГЕЛЬСКОЙОБЛАСТИ;28.01.2021;1 190 094,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300004921000007;УПРАВЛЕНИЕ ИМУЩЕСТВЕННО-ХОЗЯЙСТВЕННОГО КОМПЛЕКСА АДМИНИСТРАЦИИ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИОНТРЕЙД""";1 - Победитель;952 075,20;Стрекаловская Н. А.;2 - Второй номер;952 075,20;;;;;;
№ 32109934671;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109934671;Закупка завершена;"Выполнение инженерно-геологических и инженерно- экологических изысканий по объектам:-  Устройство недостающего электроосвещения на автомобильнойдорогеХомяково -Архангельское(н.п. Хомяково, н.п.Архангельское)в МО г. Тула;- Устройство недостающего электроосвещения на автомобильнойдорогеАлексин - Егнышевка - Ламоново (н.п. Бунырево, н.п. Егнышевка) в МО г. Алексин Тульской области";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ  ТУЛЬСКОЙ ОБЛАСТИ  ""ПРОЕКТНАЯ КОНТОРА""";28.01.2021;956 729,53 ₽;;;;;;;;;;;;;;
№ 0330100010521000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000005;Определение поставщика завершено;Ремонт моста через реку Моша на км 528+602автомобильнойдорогиА-215 Лодейное Поле - Вытегра - Прокшино - Плесецк - Брин-Наволок,Архангельскаяобласть;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";28.01.2021;148 300 682,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000005;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;В течение десяти минут после начала проведения электронного аукциона ни один из его участников не подал предложение о цене контракта (ч.20 ст.68 44-ФЗ). По результатам рассмотрения вторых частей заявок принято решение о соответствии требованиям, установленным документацией об электронном аукционе, двух и более вторых частей заявок.;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТООТРЯД""";1 - Победитель;148 300 682,00;;;;;;
№ 0124300022121000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000015;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";27.01.2021;1 245 895,56 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000015;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;;;;;;;;;;;
№ 0318300010721000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300010721000006;Определение поставщика завершено;"""Благоустройство сельских территорий – Ремонт тротуара по адресу Тихорецкий р-н, пос. Малороссийский, пер. Кочубея"" ""Благоустройство сельских территорий – Ремонт тротуара по адресу Тихорецкий р-н, пос. Малороссийский, пер. Котельный"" ""Благоустройство сельских территорий – Ремонт тротуара по адресу Тихорецкий р-н, пос. Малороссийский, ул. Мира"" ""Благоустройство сельских территорий – Ремонт тротуара по адресу Тихорецкий р-н, пос. Малороссийский, ул. Школьная""";АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ТИХОРЕЦКИЙ РАЙОН;27.01.2021;7 386 863,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318300010721000006;АДМИНИСТРАЦИЯ АРХАНГЕЛЬСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ТИХОРЕЦКОГО РАЙОНА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-СЕРВИС""";1 - Победитель;6 611 242,28;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРРЕГИОНСТРОЙ""";2 - Второй номер;6 611 242,28;30.11.2021;26.02.2021;5047157422;141701, ОБЛ МОСКОВСКАЯ, Г ДОЛГОПРУДНЫЙ, ПРОЕЗД ЛИХАЧЕВСКИЙ, ДОМ 4, СТРОЕНИЕ 1, ОФИС ЧАСТЬ 514;8-916-2493121info@art-servis.com;
№ 0124300004921000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300004921000005;Определение поставщика завершено;Выполнениеработ по капитальному ремонту автомобильнойдороги«Куимиха- Рассека» МО «Приводинское»;АДМИНИСТРАЦИЯ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНААРХАНГЕЛЬСКОЙОБЛАСТИ;27.01.2021;1 617 160,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300004921000005;УПРАВЛЕНИЕ ИМУЩЕСТВЕННО-ХОЗЯЙСТВЕННОГО КОМПЛЕКСА АДМИНИСТРАЦИИ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИОНТРЕЙД""";1 - Победитель;1 051 154,16;Стрекаловская Н. А.;2 - Второй номер;1 059 239,97;;;;;;
№ 0124300004921000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300004921000004;Определение поставщика завершено;Выполнениеработ по капитальному ремонту автомобильнойдороги«дер.Башарово» МО «Черемушское»;АДМИНИСТРАЦИЯ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНААРХАНГЕЛЬСКОЙОБЛАСТИ;27.01.2021;3 657 484,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300004921000004;УПРАВЛЕНИЕ ИМУЩЕСТВЕННО-ХОЗЯЙСТВЕННОГО КОМПЛЕКСА АДМИНИСТРАЦИИ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОТЛАССКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""";;3 657 484,00;20.08.2021;02.03.2021;2904030404;165320, ОБЛ АРХАНГЕЛЬСКАЯ 29, Р-Н КОТЛАССКИЙ, - ШИПИЦЫНО, УЛ П.КОЖИНА, ДОМ 78;7-921-71996709217199670-9999@mail.ru;
№ 0124300004921000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300004921000003;Определение поставщика завершено;Выполнение работ по капитальному ремонту автомобильнойдороги«Подъезд  к дер. Макарово» МО «Сольвычегодское»;АДМИНИСТРАЦИЯ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНААРХАНГЕЛЬСКОЙОБЛАСТИ;27.01.2021;2 988 295,20 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300004921000003;УПРАВЛЕНИЕ ИМУЩЕСТВЕННО-ХОЗЯЙСТВЕННОГО КОМПЛЕКСА АДМИНИСТРАЦИИ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЛАЙН""";1 - Победитель;2 135 000,00;Волкова О. А.;2 - Второй номер;2 150 000,00;;;;;;
№ 0348100042421000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100042421000005;Определение поставщика завершено;"Выполнение работ по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельскна участке км 16+600 - км 20+200 (лево 1,2,3 полосы), Московская область; Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельскна участке км 16+600 - км 20+200 (право 1,2,3 полосы), Московская область (лот 5)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.01.2021;125 972 220,81 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100042421000005;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙКОНТРАКТ""";1 - Победитель;125 342 359,70;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙСЕРВИС""";2 - Второй номер;119 673 609,77;;;;;;
№ 0124300022121000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000014;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";26.01.2021;2 363 383,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000014;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Дунаев А. В.;;2 363 383,40;31.12.2021;15.02.2021;Да;164632, Архангельская область, Пинежский район, пос. Новолавела, ул. Почтовая, д. 11;7-921-4748222daw66@yandex.ru;
№ 0330100010521000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000004;Определение поставщика завершено;Ремонт моста через реку Чучекса на км 442+335автомобильнойдорогиА-215 Лодейное Поле - Вытегра - Прокшино - Плесецк -Брин-Наволок,Архангельскаяобласть;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";25.01.2021;92 835 840,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000004;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТОВИК""";1 - Победитель;85 408 973,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПОРА""";2 - Второй номер;86 337 331,20;24.11.2021;20.02.2021;3502000289;24.11.2021;01.10.2021;
№ 0330100010521000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000003;Определение поставщика завершено;"Ремонт моста через ручей на км 8+460 (левый) автомобильнойдорогиПодъезд к международному аэропорту ""Архангельск"" (Талаги) от федеральнойавтомобильнойдорогиМ-8 ""Холмогоры"",Архангельскаяобласть";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";25.01.2021;35 714 065,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000003;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТОВИК""";1 - Победитель;33 749 789,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКМАСТРОЙ""";2 - Второй номер;33 928 359,67;24.11.2021;20.02.2021;3502000289;24.11.2021;01.10.2021;
№ 0330100010521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000002;Определение поставщика завершено;"Ремонт мостачерез реку Печегда на км 181+319 автомобильнойдорогиМ-8 ""Холмогоры""Москва - Ярославль - Вологда -Архангельск, Ярославская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";25.01.2021;86 147 784,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000002;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТМОНТАЖ""";1 - Победитель;68 056 749,36;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМПРЭО""";2 - Второй номер;68 487 488,28;24.11.2021;24.02.2021;7627029072;24.11.2021;01.10.2021;
№ 0124300021021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300021021000001;Определение поставщика завершено;"Выполнение работ по ремонту асфальтобетонного покрытия объектов дорожной инфраструктуры муниципального образования ""ГородАрхангельск""";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАРХАНГЕЛЬСК""";25.01.2021;450 868 570,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300021021000001;"ДЕПАРТАМЕНТ ТРАНСПОРТА, СТРОИТЕЛЬСТВА И ГОРОДСКОЙ ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АРХАНГЕЛЬСК""";;В течение десяти минут после начала проведения электронного аукциона ни один из его участников не подал предложение о цене контракта (ч.20 ст.68 44-ФЗ). По результатам рассмотрения вторых частей заявок принято решение о соответствии требованиям, установленным документацией об электронном аукционе, двух и более вторых частей заявок.;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВДОРСТРОЙСЕРВИС""";1 - Победитель;450 868 570,00;20.11.2021;26.02.2021;2912002922;164010, ОБЛ АРХАНГЕЛЬСКАЯ 29, Р-Н КОНОШСКИЙ, РАБОЧИЙ ПО КОНОША, ПР-КТ ОКТЯБРЬСКИЙ, ДОМ 121;8-921-2432096sevdor.ofis@yandex.ru;
№ 0856300003821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0856300003821000002;Определение поставщика завершено;"Ремонт участка км 0+000 - км 2+900 автомобильнойдороги ""Архангельское-Антипино""-Якунёво-Яранёво""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЮСЬВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ ""ЕДИНЫЙ УЧЕТНЫЙ ЦЕНТР""";22.01.2021;7 047 102,55 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0856300003821000002;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЮСЬВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ ""УПРАВЛЕНИЕ ДОРОЖНОГО ХОЗЯЙСТВА И КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРВЕРТСТРОЙ""";1 - Победитель;4 474 888,56;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮСЬВИНСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ""";2 - Второй номер;4 510 124,08;31.10.2021;16.02.2021;5914024356;618703, Пермский край, г Добрянка, рп Полазна, Энергетиков пер, д 4;83426594018dorvertstroy@mail.ru;
