№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0125300005920000059;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0125300005920000059;Определение поставщика завершено;Выполнение работ по обустройству пешеходного перехода по ул. Молодежная (район СОШ) в с. Ново-Николаевка Ахтубинского районаАстраханскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН""АСТРАХАНСКОЙОБЛАСТИ";08.10.2020;976 333,33 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0125300005920000059;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН"" АСТРАХАНСКОЙ ОБЛАСТИ";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;Кожевников А. А.;;971 451,66;30.12.2020;03.11.2020;Да;414041, Астраханская область, г. Астрахань, ул. Ботвина, д. 8, кв  31;7-927-5779718ip-kogevnikov@mail.ru;
№ 0125300005920000058;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0125300005920000058;Определение поставщика завершено;Выполнение работ по обустройству пешеходного перехода в с. Пироговка Ахтубинского районаАстраханскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН""АСТРАХАНСКОЙОБЛАСТИ";08.10.2020;226 706,67 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0125300005920000058;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН"" АСТРАХАНСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Белов С. В.;;226 706,67;30.12.2020;05.11.2020;Да;400120 Волгоградская обл. г. Волгоград ул. Им. Паши Ангелиной, дом 87;7-903-3273008vlg.abris@yandex.ru;
№ 0325300034520000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300034520000017;Определение поставщика завершено;Ремонт покрытия автомобильнойдороги Астраханскаяобласть Черноярский район с. Солодники пер. Трудовой от домовладения №1 до пересечения с ул. Бочарова (на участке от ул. Ленинская до ул. им. Демьянова В.В.);КОМИТЕТ  ИМУЩЕСТВЕННЫХ  ОТНОШЕНИЙ  ЧЕРНОЯРСКОГО  РАЙОНА;08.10.2020;636 492,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300034520000017;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СТАРТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРМОСТСТРОЙ""";1 - Победитель;633 310,34;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРРЕМСТРОЙ""";2 - Второй номер;633 310,34;17.12.2020;02.12.2020;7720319509;127247, Г МОСКВА 77, Ш ДМИТРОВСКОЕ, ДОМ 100, СТРОЕНИЕ 2, ЭТ/ПОМ 02/1210;;
№ 0325300034520000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300034520000016;Определение поставщика завершено;Ремонт покрытия автомобильнойдорогипо адресу:Астраханскаяобласть Черноярский район с. Солодники, пер. Почтовый от домовладения №24 до пересечения с ул. Бочарова (на участках от ул. им. Демьянова В.В. до домовладения №7 и от домовладения №18 до домовладения №20);КОМИТЕТ  ИМУЩЕСТВЕННЫХ  ОТНОШЕНИЙ  ЧЕРНОЯРСКОГО  РАЙОНА;08.10.2020;613 378,26 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300034520000016;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СТАРТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРМОСТСТРОЙ""";1 - Победитель;610 311,37;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРРЕМСТРОЙ""";2 - Второй номер;610 311,37;17.12.2020;27.11.2020;7720319509;127247, Г МОСКВА 77, Ш ДМИТРОВСКОЕ, ДОМ 100, СТРОЕНИЕ 2, ЭТ/ПОМ 02/1210;;
№ 0325300034520000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300034520000015;Определение поставщика завершено;Ремонт покрытия автомобильнойдорогипо адресу:Астраханскаяобласть, Черноярский район, с. Солодники, ул. Студенческая, Школьная, Мелиоративная, пер. Мирный, Московский, Колхозный, Комсомольский, ул. Зеленый Сад, ул. Набережная, ул. Комсомольская (на участке от спуска по ул. Комсомольская до домовладения 16);КОМИТЕТ  ИМУЩЕСТВЕННЫХ  ОТНОШЕНИЙ  ЧЕРНОЯРСКОГО  РАЙОНА;08.10.2020;614 179,99 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300034520000015;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СТАРТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРМОСТСТРОЙ""";1 - Победитель;611 109,09;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРРЕМСТРОЙ""";2 - Второй номер;611 109,09;17.12.2020;27.11.2020;7720319509;127247, Г МОСКВА 77, Ш ДМИТРОВСКОЕ, ДОМ 100, СТРОЕНИЕ 2, ЭТ/ПОМ 02/1210;;
№ 0325300034520000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300034520000014;Определение поставщика завершено;Ремонт покрытия автомобильнойдорогипо адресу:Астраханскаяобласть Черноярский район, с. Солодники ул. Ленинская, от пересечения пер. Кооперативный до ул. Строительная (на участке от домовладения №40 до домовладения №46);КОМИТЕТ  ИМУЩЕСТВЕННЫХ  ОТНОШЕНИЙ  ЧЕРНОЯРСКОГО  РАЙОНА;07.10.2020;230 296,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300034520000014;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СТАРТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРМОСТСТРОЙ""";1 - Победитель;229 144,92;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРРЕМСТРОЙ""";2 - Второй номер;229 144,92;17.12.2020;26.11.2020;7720319509;127247, Г МОСКВА 77, Ш ДМИТРОВСКОЕ, ДОМ 100, СТРОЕНИЕ 2, ЭТ/ПОМ 02/1210;;
№ 0125300007220000119;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0125300007220000119;Определение поставщика завершено;Выполнение работ по зимнему содержаниюдорогв Лиманском районеАстраханскойобласти (распределение пескосоляной смеси);"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЛИМАНСКИЙ РАЙОН""";07.10.2020;235 770,55 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0125300007220000119;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНАЯ ДЕЖУРНО-ДИСПЕТЧЕРСКАЯ СЛУЖБА ЛИМАНСКОГО РАЙОНА""";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИМАНСКАЯ ПМК""";1 - Победитель;188 748,99;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ ""ЛИМАНСКОЕ""";2 - Второй номер;191 685,66;31.12.2020;06.11.2020;3007000238;416410, ОБЛ АСТРАХАНСКАЯ 30, РАБОЧИЙ ПО ЛИМАН, УЛ ПРУДОВАЯ, 5;;
№ 0825600001820000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825600001820000001;Определение поставщика завершено;Строительство автомобильнойдорогимежмуниципального значения с. Трудфронт- с. Ямное Икрянинского районаАстраханскойобласти;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПО РЕАЛИЗАЦИИ МУНИЦИПАЛЬНЫХ ПРОГРАММ"" АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИКРЯНИНСКИЙ РАЙОН""";06.10.2020;75 459 640,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825600001820000001;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПО РЕАЛИЗАЦИИ МУНИЦИПАЛЬНЫХ ПРОГРАММ"" АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИКРЯНИНСКИЙ РАЙОН""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""СКИТ""";1 - Победитель;74 705 043,60;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙГАЗСПЕЦМОНТАЖ""";2 - Второй номер;74 705 043,60;31.12.2021;02.11.2020;3018310640;"414015, ОБЛ АСТРАХАНСКАЯ 30, Г АСТРАХАНЬ, УЛ 5-Я КЕРЧЕНСКАЯ, 16, ""Ж""";поставщик (подрядчик, исполнитель), который в соответствии с контрактом обязан привлечь к исполнению контракта субподрядчиков, соисполнителей из числа субъектов малого предпринимательства;
№ 0325300006420000730;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300006420000730;Определение поставщика завершено;Поставка оборудования для светофорных объектов;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАСТРАХАНЬ""";06.10.2020;253 862,64 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300006420000730;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА АСТРАХАНИ ""МОСТЫ И КАНАЛЫ""";Саратова Е. А.;1 - Победитель;114 492,73;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РТК""";2 - Второй номер;115 762,04;31.12.2020;13.11.2020;Да;САРАТОВА ЕЛЕНА АЛЕКСАНДРОВНАИндивидуальный предпринимательИНН:232603078990Датапостановкина учет:10.04.2015;347740, Ростовская, Зерноградский, Зерноград, им Пушкина, д.33/10;
№ 32009552889;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009552889;Закупка завершена;на право заключения договора на выполнения комплекса работ «под ключ» (в том числе: подготовка исходно-разрешительной документации, проектная и рабочая документация, строительно-монтажные, электромонтажные и пусконаладочные работы, поставка оборудования) по объекту технологического присоединения филиала ПАО «Россети Юг» - «Астраханьэнерго» Строительство ВЛЗ-6 кВ ф.4 ПС 110/6 кВ Покровка для электроснабжения АГКНС, расположенного по адресу: 153 км+400 м.,автодорога«Волгоград-Астрахань», г. Ахтубинск,Астраханскаяобласть».;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЮГ""";05.10.2020;8 814 292,81 ₽;;;;;;;;;;;;;;
№ 0318100043420000042;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043420000042;Определение поставщика отменено;"Проведение строительного контроля при осуществлении капитального ремонта автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астрахань, подъезд к г.Элиста на участке км 129+700 – км 137+000, Республика Калмыкия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.10.2020;23 349 493,00 ₽;;;;;;;;;;;;;;
№ 32009542856;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009542856;Закупка завершена;Поставка электроотопительного котла для нуждАстраханскогоотряда ВО филиала ФГП ВО ЖДТ России на Приволжской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";01.10.2020;49 700,00 ₽;;;;;;;;;;;;;;
