№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0372200055721000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372200055721000003;Подача заявок;Выполнение работ по ремонту асфальтового покрытия на территории ГБДОУ детский сад № 67 Кировского районаСанкт-Петербургав 2021 году;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 67 КОМПЕНСИРУЮЩЕГО ВИДА КИРОВСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;30.03.2021;518 098,43 ;;;;;;;;;;;;;;
№ 32110136555;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110136555;Подача заявок;Выполнение работ по содержанию и ручной уборке автомобильныхдорогобщего пользования регионального значения в Курортном районеСанкт-Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ СПЕЦИАЛИЗИРОВАННОЕ ПРЕДПРИЯТИЕ ""КУРОРТНОЕ""";30.03.2021;9 932 581,61 ;;;;;;;;;;;;;;
№ 0372200015321000048;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372200015321000048;Подача заявок;"Поставка медицинских зуботехнических изделий для СПб ГБУЗ ""Городская поликлиника №48"" в 2021 году";"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №48""";30.03.2021;2 996 671,70 ;;;;;;;;;;;;;;
№ 32110135211;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110135211;Подача заявок;"Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 1418/ОАЭ-ОКТ/21 на право заключения договора на выполнение работ по текущему ремонту нежилого помещения Октябрьского центра метрологии, расположенного по адресу г.Санкт-Петербург, ""Лиговский канал-Пулковское шоссе"", лит. А, пом. 1Н, 2Н";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";29.03.2021;9 401 140,80 ;;;;;;;;;;;;;;
№ 0336100012521000026;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000026;Подача заявок;Подготовка проектной документации и выполнение инженерных изысканий. Капитальный ремонт моста через реку Чернорученка на км 47+327 автомобильнойдорогиА-122 автомобильнаядорогаА-114 - Устюжна - Крестцы - Яжелбицы - Великие Луки - Невель, Яжелбицы - Демянск - Старая Русса - Сольцы, Новгородская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.03.2021;8 727 530,25 ;;;;;;;;;;;;;;
№ 0306100000421000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000014;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения. Приведение в нормативное состояние полосы отвода автомобильнойдорогиА-137 автомобильнаядорогаР-21 ""Кола"" - Тикша - Ледмозеро - Костомукша - граница с Финляндской Республикой.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.03.2021;6 120 000,00 ;;;;;;;;;;;;;;
№ 0145200000421000345;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0145200000421000345;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значенияСанкт-Петербург- завод имени Свердлова - Всеволожск км 23+000 - 33+547 во Всеволожском районе Ленинградской области;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;29.03.2021;295 548 981,33 ;;;;;;;;;;;;;;
№ 0306100000421000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000013;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство защитных слоёв на автомобильнойдорогеР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия, подъезд к г. Североморск на участке км 0+000 - км 13+517, Мурманская область. Приемочная диагностика объекта после проведения работ по устройству защитных слоев.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.03.2021;318 722,17 ;;;;;;;;;;;;;;
№ 0145200000421000338;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0145200000421000338;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значенияСанкт-Петербург– Ручьи км 47+000-км 54+000    в Ломоносовском районе Ленинградской области;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;29.03.2021;156 811 470,85 ;;;;;;;;;;;;;;
№ 0336100012521000025;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000025;Подача заявок;Подготовка проектной документации и выполнение инженерных изысканий. Капитальный ремонт моста через реку Явонь на км 61+791 автомобильнойдорогиА-122 автомобильнаядорогаА-114 – Устюжна – Крестцы – Яжелбицы – Великие Луки – Невель, Яжелбицы – Демянск – Старая Русса – Сольцы, Новгородская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.03.2021;9 433 657,00 ;;;;;;;;;;;;;;
№ 0372200213521000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200213521000005;Подача заявок;Установка технических средств организации дорожного движения в Московском, Кировском, Кронштадтском, Петродворцовом районах: выполнение работ по созданию нерегулируемых пешеходных переходов, установку Г-образных опор на существующих НПП, а также установку Г-образных опор для дорожных знаков.;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯСАНКТ-ПЕТЕРБУРГА""";29.03.2021;4 994 588,34 ;;;;;;;;;;;;;;
№ 0372200213521000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200213521000004;Подача заявок;Выполнение работ по установке новых ТСОДД на улично-дорожной сети в Адмиралтейском, Кировском, Колпинском, Красносельском, Московском, Невском, Петродворцовом, Пушкинском, Фрунзенском, Центральном районахСанкт-Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯСАНКТ-ПЕТЕРБУРГА""";29.03.2021;17 381 282,97 ;;;;;;;;;;;;;;
№ 0372200213521000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200213521000003;Подача заявок;Выполнение работ по установке новых ТСОДД на улично-дорожной сети в Приморском, Курортном, Кронштадтском, Василеостровском, Петроградском, Красногвардейском, Выборгском, Калининском  районахСанкт-Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯСАНКТ-ПЕТЕРБУРГА""";29.03.2021;19 988 745,41 ;;;;;;;;;;;;;;
№ 0372200213521000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200213521000002;Подача заявок;Установка технических средств организации дорожного движения в Красногвардейском, Пушкинском, Василеостровском, Невском, Московском, Колпинском, Курортном районах: выполнение работ по созданию нерегулируемых пешеходных переходов, установку Г-образных опор на существующих НПП, а также установку Г-образных опор для дорожных знаков.;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯСАНКТ-ПЕТЕРБУРГА""";29.03.2021;8 972 205,85 ;;;;;;;;;;;;;;
№ 32110129842;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110129842;Подача заявок;Выполнение работ по ремонту объектов зеленых насаждений (асфальтового покрытия) Петроградского районаСанкт-Петербургапо адресу: Приморский парк Победы между Гребным кан., Рюхина ул. и р. М. Невкой, сквер б/н  между Теннисной аллеей и Футбольной аллеей, Азовская ул., Крестовский пр., Южнаядорога, Севернаядорога, наб. Гребного канала;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИМОРСКИЙ ПАРК ПОБЕДЫ""";26.03.2021;131 259,41 ;;;;;;;;;;;;;;
№ 0306100000421000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000012;Подача заявок;"...  по установке элементов обустройства автомобильныхдорогобщего пользования федерального значения. ...  503 автомобильнойдорогиобщего пользования федерального значения Р-21 ""Кола""Санкт-Петербург- Петрозаводск ...  автомобильнойдорогиобщего пользования федерального значения А-121 СортавалаСанкт-Петербург- Сортавала - автомобильнаядорога...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;19 366 666,67 ;;;;;;;;;;;;;;
№ 0306100000421000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000011;Подача заявок;"Выполнение работ по установке элементов обустройства автомобильныхдорогобщего пользования федерального значения. Устройство стационарного электрического освещения на автобусных остановках, пешеходных переходах и локальных примыканиях на км 1394, км 1400, км 1378 автомобильнойдорогиобщего пользования федерального значения Р-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия, Мурманская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;13 088 162,00 ;;;;;;;;;;;;;;
№ 0872200000221000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0872200000221000005;Подача заявок;Выполнение работ по созданию условий беспрепятственного доступа инвалидов к объектам транспортной инфраструктуры в Московском районеСанкт-Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЙ ЦЕНТР УПРАВЛЕНИЯ ПАРКОВКАМИСАНКТ-ПЕТЕРБУРГА""";26.03.2021;2 653 432,74 ;;;;;;;;;;;;;;
№ 0872200000221000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0872200000221000004;Подача заявок;Выполнение работ по созданию условий беспрепятственного доступа инвалидов к объектам транспортной инфраструктуры вСанкт-Петербурге.;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЙ ЦЕНТР УПРАВЛЕНИЯ ПАРКОВКАМИСАНКТ-ПЕТЕРБУРГА""";26.03.2021;5 306 864,26 ;;;;;;;;;;;;;;
№ 0872200000221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0872200000221000002;Подача заявок;Выполнение работ по созданию перехватывающей автостоянки, расположенной по адресу: Торфянаядорога, участок 8, (южнее дома 7, литера Б).  I ЭТАП.;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЙ ЦЕНТР УПРАВЛЕНИЯ ПАРКОВКАМИСАНКТ-ПЕТЕРБУРГА""";26.03.2021;11 160 200,56 ;;;;;;;;;;;;;;
№ 0872200000221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0872200000221000001;Подача заявок;Выполнение работ по созданию условий беспрепятственного доступа инвалидов по маршруту передвижения для людей с ограниченными возможностями до ГБОУ школа-интернат №2 Кировского районаСанкт–Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЙ ЦЕНТР УПРАВЛЕНИЯ ПАРКОВКАМИСАНКТ-ПЕТЕРБУРГА""";26.03.2021;2 875 443,20 ;;;;;;;;;;;;;;
№ 0372200004521000051;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372200004521000051;Подача заявок;"Выполнение работ по благоустройству элементов благоустройства земельных участков по адресам:Санкт-Петербург, Торфянаядорога, уч. 4 (севернее д. 6, лит.  А);Санкт-Петербург, Торфянаядорога, уч. 1 (южнее д. 8, корпус 3, лит. А по Торфянойдороге); Санкт-Петербург, Торфянаядорога, уч. 19 (севернее д. 6, лит. А по Торфянойдороге)для размещения площадки для отстоя и разворота пассажирского транспорта для государственных нуждСанкт-Петербургав 2021 году";"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОРГАНИЗАТОР ПЕРЕВОЗОК""";26.03.2021;17 962 403,74 ;;;;;;;;;;;;;;
№ 0372200006921000047;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200006921000047;Подача заявок;Проектирование строительства электрических сетей и устройств наружного освещения улиц: Межквартальнаядорогамежду Петровским пр. и Ремесленной ул. до Петровского пруда (строительство);"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""";26.03.2021;886 411,20 ;;;;;;;;;;;;;;
№ 0372200006921000036;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200006921000036;Подача заявок;Проектирование реконструкции наружного освещения кварталовСанкт-Петербурга: Микрорайон (Аннинское шоссе - железнаядорога), Торики;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""";26.03.2021;5 996 053,20 ;;;;;;;;;;;;;;
№ 0306100000421000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000010;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство защитных слоёв на автомобильнойдорогеР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 909 - км 929, Республика Карелия.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;69 917 975,63 ;;;;;;;;;;;;;;
№ 0172300005221000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300005221000007;Подача заявок;Выполнение работ по благоустройству территории МО Пискаревка;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНЫЙ ОКРУГ ПИСКАРЕВКА;26.03.2021;69 534 091,28 ;;;;;;;;;;;;;;
№ 0306100000421000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000009;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство защитных слоёв, слоев износа на автомобильнойдорогеА-119 Вологда - Медвежьегорск - автомобильнаядорогаР-21 ""Кола"" на участке км 403 - км 464, Республика Карелия.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;219 656 500,48 ;;;;;;;;;;;;;;
№ 32110126628;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110126628;Закупка завершена;на оказание услуг по содержанию и уборке автомобильныхдорог, объектов дорожной инфраструктуры и прочих территорийСанкт-Петербурга;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОДОР""";26.03.2021;79 042 500,00 ;;;;;;;;;;;;;;
№ 0172200004621000086;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172200004621000086;Подача заявок;Выполнение работ по ликвидации несанкционированной свалки расположенной по адресу:Санкт-Петербург, Выборгский район, пос. Парголово, вдоль проезда б/н в сторону Северного кладбища, идущего перпендикулярно Успенскойдороге;АДМИНИСТРАЦИЯ ВЫБОРГСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;26.03.2021;38 125 169,66 ;;;;;;;;;;;;;;
№ 0172200002521000061;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172200002521000061;Подача заявок;Выполнение работ по демаркировке, нанесению и восстановлению дорожной разметки на улично-дорожной сети Приморского, Курортного, Выборгского, Калининского, Василеостровского и Петроградского районовСанкт-Петербурга;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУСАНКТ-ПЕТЕРБУРГА;25.03.2021;299 207 023,31 ;;;;;;;;;;;;;;
№ 0172200002521000060;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172200002521000060;Подача заявок;Выполнение работ по демаркировке, нанесению и восстановлению дорожной разметки на улично-дорожной сети Пушкинского, Колпинского, Красносельского, Петродворцового, Кронштадтского и Кировского районовСанкт-Петербурга;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУСАНКТ-ПЕТЕРБУРГА;25.03.2021;200 940 422,05 ;;;;;;;;;;;;;;
№ 0172200002521000059;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172200002521000059;Подача заявок;Выполнение работ по демаркировке, нанесению и восстановлению дорожной разметки на улично-дорожной сети Центрального, Фрунзенского, Московского, Невского, Красногвардейского и  Адмиралтейского районовСанкт-Петербурга;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУСАНКТ-ПЕТЕРБУРГА;25.03.2021;299 627 708,30 ;;;;;;;;;;;;;;
№ 32110122502;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110122502;Работа комиссии;Поставка репеллентов для работающих на открытом воздухе для нуждСанкт-Петербургскогоотряда филиала (отделения по Петрозаводскому и Мурманскому регионам) ФГП ВО ЖДТ России на Октябрьской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.03.2021;147 000,00 ;;;;;;;;;;;;;;
№ 0172200002221000044;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172200002221000044;Подача заявок;Выполнение работ по текущему ремонту асфальтового покрытия в дошкольных учреждениях Фрунзенского районаСанкт-Петербургав 2021 году;АДМИНИСТРАЦИЯ ФРУНЗЕНСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;25.03.2021;13 050 222,00 ;;;;;;;;;;;;;;
№ 0306100000421000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000008;Подача заявок;Ремонт действующей сети автомобильныхдорогобщего пользования федерального значения. Приемочная диагностика участков автомобильныхдорогобщего пользования федерального значения.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.03.2021;1 074 432,83 ;;;;;;;;;;;;;;
№ 0306100000421000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000007;Подача заявок;Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Приемочная диагностика объекта после проведения работ по устройству защитных слоев.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.03.2021;1 357 297,17 ;;;;;;;;;;;;;;
№ 0306100000421000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000006;Подача заявок;"Ремонт автомобильнойдорогиА-119 Вологда - Медвежьегорск - автомобильнаядорогаР-21 ""Кола"" на участке км 502 - км 532, Республика Карелия. Приемочная диагностика объекта после проведения работ по ремонту.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.03.2021;760 441,67 ;;;;;;;;;;;;;;
№ 32110118195;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110118195;Подача заявок;Оказание услуг по предоставлению учебно-методической и материальной базы для  подготовки к прохождению периодической проверки  на пригодность к действиям в условиях, связанных с применением специальных средств и оружия работниковСанкт-Петербургскогоотряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге(г. Великие Луки);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";24.03.2021;167 400,00 ;;;;;;;;;;;;;;
№ 32110118183;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110118183;Подача заявок;Оказание услуг по предоставлению учебно-методической и материальной базы для  подготовки к прохождению периодической проверки  на пригодность к действиям в условиях, связанных с применением специальных средств и оружия работниковСанкт-Петербургскогоотряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге(г. Псков);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";24.03.2021;119 350,00 ;;;;;;;;;;;;;;
№ 32110117718;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110117718;Работа комиссии;Поставка материалов, используемых в дорожном строительстве для выполнения работ по содержанию автомобильныхдорогКронштадтского района;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ СПЕЦИАЛИЗИРОВАННОЕ ПРЕДПРИЯТИЕ ""КУРОРТНОЕ""";24.03.2021;6 244 330,00 ;;;;;;;;;;;;;;
№ 0841200000721000371;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0841200000721000371;Определение поставщика отменено;Строительство автомобильнойдорогиСеверо-Запад - Урал(Санкт-Петербург- Екатеринбург) на участке Нея - Мантурово км 205 - км 220 вМантуровском районе Костромской области - I пусковой комплекс км 205 - км 214(объект незавершённого строительства);"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК КОСТРОМСКОЙ ОБЛАСТИ""";23.03.2021;259 491 773,00 ;;;;;;;;;;;;;;
№ 32110113733;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110113733;Подача заявок;Открытый конкурс среди субъектов малого и среднего предпринимательства в электронной форме № 128/ОКЭ-ЦДТВ/21 на право заключения договора оказания услуг по организации технологического процесса работы обьектов теплоснабжения;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";23.03.2021;;;;;;;;;;;;;;;
