№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0176200005521000182;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000182;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к х. Свободный Труд на км 2+000 - 3+400 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;13 376 369,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000182;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;;;;;;;;;;
№ 0176200005521000181;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000181;Определение поставщика завершено;Ремонт автомобильнойдорогиГиагинская - Штурбино на км 6+500 - 8+500 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;17 558 087,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000181;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0101011792;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШОВГЕНОВСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";;17 470 296,56;01.04.2022;30.03.2021;385440, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ШОВГЕНОВСКИЙ,  АУЛ МАМХЕГ,  УЛ СОВЕТСКАЯ, 87,;79184249328gup.drsu@yandex.ru;
№ 0176200005521000180;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000180;Определение поставщика завершено;Ремонт автомобильнойдорогиКраснооктябрьский - Курджипская - Дагестанская на участках км 5+900 - 7+500, км 14+200 - 15+600 МО «Майкопский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;30 656 406,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000180;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""МАЙКОПСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";;30 656 406,00;;;;;
№ 0176200005521000179;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000179;Определение поставщика завершено;Ремонт автомобильнойдорогиТахтамукай - Козет - Новый - Яблоновский на участках км 5+686 - 7+493, км 10+295 - 11+000 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;23 934 146,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000179;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0107032005;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ТАХТАМУКАЙСКОЕ ДРСУ""";;23 934 146,00;01.04.2022;30.03.2021;385100, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ТАХТАМУКАЙСКИЙ,  АУЛ ТАХТАМУКАЙ,  УЛ ЮЖНАЯ, ДОМ 54, ОФИС 5;79180101041Fdrsu67@mail.ru;
№ 0176200005521000176;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000176;Определение поставщика завершено;Ремонт автомобильнойдорогиХакуринохабль - Пшизов на км 10+000 - 12+000 МО «Шовгеновский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;19 793 603,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000176;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0101011792;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШОВГЕНОВСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";;19 793 603,00;01.04.2022;29.03.2021;385440, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ШОВГЕНОВСКИЙ,  АУЛ МАМХЕГ,  УЛ СОВЕТСКАЯ, 87,;79184249328gup.drsu@yandex.ru;
№ 0176200005521000175;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000175;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к а. Хакуринохабль на км 0+000 - 3+810 МО «Шовгеновский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;41 981 172,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000175;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0101011792;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШОВГЕНОВСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";;41 981 172,00;01.04.2022;29.03.2021;385440, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ШОВГЕНОВСКИЙ,  АУЛ МАМХЕГ,  УЛ СОВЕТСКАЯ, 87,;79184249328gup.drsu@yandex.ru;
№ 0176200005521000174;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000174;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к х. Колхозному на км 0+000 - 1+000 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;9 476 106,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000174;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0105071810;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;9 428 725,47;01.04.2022;30.03.2021;385001, Российская Федерация,  РЕСП АДЫГЕЯ,  Г МАЙКОП,  УЛ ЖЕЛЕЗНОДОРОЖНАЯ,  332,;78772545048dsu3@list.ru;
№ 0176200005521000172;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000172;Определение поставщика завершено;Ремонт автомобильнойдорогиКрасное - Ассоколай на км 2+600 - 5+100 МО «Теучежский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;23 279 146,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000172;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0107021719;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДТС""";;23 279 146,00;01.04.2022;29.03.2021;АДЫГЕЯ РЕСПУБЛИКА ГОРОД АДЫГЕЙСК, ХУТОР ПСЕКУПС УЛИЦА МАЙСКАЯ, ДОМ 1;79180489191ooo-dts@mail.ru;
№ 0176200005521000171;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000171;Определение поставщика завершено;Ремонт автомобильнойдорогиМайкоп - Гиагинская - Псебай - Зеленчукская - Карачаевск на участках км 90+830 - 92+026, км 104+500 - 105+971 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;31 029 463,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000171;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;;;;;;;;;;
№ 0176200005521000170;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000170;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к а. Блечепсин на км 0+000 - 1+474 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;14 038 630,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000170;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;;;;;;;;;;
№ 0176200005521000167;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000167;Определение поставщика завершено;Ремонт автомобильнойдорогиКошехабль - Соколов на км 9+737 - 10+747 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;9 129 325,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000167;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;;;;;;;;;;
№ 0176200005521000166;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000166;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к х. Косинову на км 7+000 - 10+987 МО «Город Майкоп» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;37 737 029,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000166;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0105071810;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;37 737 029,00;01.04.2022;29.03.2021;385001, Российская Федерация,  РЕСП АДЫГЕЯ,  Г МАЙКОП,  УЛ ЖЕЛЕЗНОДОРОЖНАЯ,  332,;78772545048dsu3@list.ru;
№ 0176200005521000165;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000165;Определение поставщика завершено;Ремонт автомобильнойдорогиСергиевское - Тамбовский - Фарсовый на км 5+900 - 8+000 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;28 489 106,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000165;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0105071810;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;28 489 106,00;01.04.2022;29.03.2021;385001, Российская Федерация,  РЕСП АДЫГЕЯ,  Г МАЙКОП,  УЛ ЖЕЛЕЗНОДОРОЖНАЯ,  332,;78772545048dsu3@list.ru;
№ 0176300006721000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300006721000020;Определение поставщика завершено;Выполнение работ по локальному ремонту автомобильныхдорогв г.Адыгейск;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАДЫГЕЙСК""";02.03.2021;274 076,42 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176300006721000020;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АДЫГЕЙСК""";;2311298471;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ АРМАДА""";;274 076,42;31.12.2021;23.03.2021;350901, КРАЙ КРАСНОДАРСКИЙ 23, Г КРАСНОДАР, УЛ ЗАПАДНО-КРУГЛИКОВСКАЯ, ДОМ 25/1;7-989-2670074Sk.armada-74@mail.ru;
№ 0318100051221000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000007;Определение поставщика завершено;"Выполнение подрядных работ по объекту: ""Ремонт моста через р. Камла на км 18+561 автомобильнойдорогиА-160 Майкоп - Бжедугхабль -Адыгейск- Усть-Лабинск - Кореновск (направление Бжедугхабль -Адыгейск), РеспубликаАдыгея"" (Завершение работ)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.03.2021;41 282 366,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000007;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;;;;;;;;;;;
№ 0176300003021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300003021000001;Определение поставщика завершено;Реконструкция подъезднойавтодорогиот Республиканской автомобильнойдороги«г.Белореченск-ст.Гиагинская-п.Дружба в границах МО «Гиагинский район» РеспубликаАдыгея» к зданию МБДОО «Детский сад №14 Теремок ст.Дондуковской;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНДУКОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";02.03.2021;18 477 440,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176300003021000001;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНДУКОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШОВГЕНОВСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";0101011792;1 - Победитель;13 940 627,14;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСКАД""";2 - Второй номер;14 597 177,60;01.07.2021;30.03.2021;385440, РЕСП АДЫГЕЯ 01, Р-Н ШОВГЕНОВСКИЙ, АУЛ МАМХЕГ, УЛ СОВЕТСКАЯ, 87;;
№ 0318100051221000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000006;Определение поставщика завершено;Оказание услуг по содержанию транспортной развязки на км 103 автомобильнойдорогиподъезд к городу Майкоп автомобильнойдорогиР-217 «Кавказ» автомобильнаядорогаМ-4 «Дон» - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, РеспубликаАдыгея;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.03.2021;85 262 462,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000006;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;0105071810;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;85 262 462,00;31.07.2023;24.03.2021;385007, РЕСП АДЫГЕЯ 01, Г МАЙКОП, УЛ ЖЕЛЕЗНОДОРОЖНАЯ, 332;8-8772-545048dsu3@list.ru;
№ 0176300002021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300002021000001;Определение поставщика завершено;Реконструкция подъездной автомобильнойдорогик заводу переработки сельхозпродукции в п. Новый Гиагинского района РеспубликиАдыгея;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АЙРЮМОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";01.03.2021;37 053 330,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176300002021000001;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АЙРЮМОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";;0101011792;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШОВГЕНОВСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";;37 053 330,00;23.05.2021;31.03.2021;385440, РЕСП АДЫГЕЯ 01, Р-Н ШОВГЕНОВСКИЙ, АУЛ МАМХЕГ, УЛ СОВЕТСКАЯ, 87;;
